"Fecha","41.325_2.025","41.325_2.075","41.325_2.125","41.325_2.175","41.375_2.025","41.375_2.075","41.375_2.125","41.375_2.175","41.375_2.225","41.425_2.025","41.425_2.075","41.425_2.125","41.425_2.175","41.425_2.225","41.475_2.025","41.475_2.075","41.475_2.125","41.475_2.175","41.475_2.225"
2030-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
2030-01-02,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
2030-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-04,0.2,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
2030-01-05,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0,0.5,0,0,0,0,0,0.2
2030-01-06,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0
2030-01-07,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1
2030-01-08,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-09,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4
2030-01-10,0,0,0,0,0.3,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0.6,0
2030-01-11,0.5,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.3,0.4,0,0,0,0
2030-01-12,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0.1,0.1,0,0,0,0
2030-01-13,0.9,0,0,0,1.6,0,1,0,0.8,1.3,0,0.9,1.1,0.8,0.8,0.9,0.1,0,0
2030-01-14,0,0,0.2,0,0,0.5,0.4,0,0,0,0,0,0,0,0,0,0.4,0,0.1
2030-01-15,0,0.6,0,0.3,0.6,0,0,0.7,0,0,0,0.3,0,0,0,0,0,0,0
2030-01-16,16.2,16,10.7,17,15.2,14.6,15.1,15.4,14.3,17.5,15.2,17.9,18.6,18.3,15.5,25.5,13.4,17.6,12.7
2030-01-17,3.6,8.4,0,2.8,20.3,6.4,6.7,2.4,2.2,4.2,2.3,3.6,2.4,5.3,6.3,1.8,2.7,2.7,2.6
2030-01-18,1.2,0,2.8,2.6,1.1,2.4,3.4,1.9,0,0,1.7,1.5,3.2,2.9,0,0,3.4,2.1,1.6
2030-01-19,1.8,1.8,2.4,0,1.8,1.3,1.5,0.8,2.6,2.2,1.8,0,0,2.8,0,2.3,0,2.2,2.9
2030-01-20,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0
2030-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2030-01-23,0.3,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2030-01-24,0,0,0,0,0,0,0,0.8,0,0.9,0,0.4,0.7,0,0,0,0.4,0.8,0
2030-01-25,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2030-01-26,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-27,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-28,0.1,0,0,0,0,0,0,0,6.2,0.1,0,0,1.1,3.5,0,0,0,0,0
2030-01-29,0.3,0,0.1,0.2,0,0,0.5,0,0,0.5,0.2,0,0.2,0,0.5,0,0.2,0,0.2
2030-01-30,0.9,0,0,0,0,1,0,1.7,1.8,0,0.9,1.8,4.3,3.4,0,0.9,0,2,2.7
2030-01-31,0.4,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0,0.2,0.2,0,0,0.2,0.1,0
2030-02-01,0,0,0,0.2,0,0,0,0.7,0,0.4,0,0.8,0.7,0,0.3,0,0.7,0.4,0.4
2030-02-02,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.9,0,0,0
2030-02-04,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0.1
