"Fecha","41.325_2.025","41.325_2.075","41.325_2.125","41.325_2.175","41.375_2.025","41.375_2.075","41.375_2.125","41.375_2.175","41.375_2.225","41.425_2.025","41.425_2.075","41.425_2.125","41.425_2.175","41.425_2.225","41.475_2.025","41.475_2.075","41.475_2.125","41.475_2.175","41.475_2.225"
2030-01-01,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2030-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-03,0.3,0.4,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0
2030-01-04,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1.8,0,0,1.3,0,1.5
2030-01-05,19.7,13.1,17.1,15,24.4,16.8,19.6,23.3,16.7,19.6,21.3,18.6,17.1,15.7,19.4,17.3,16.7,20,18.7
2030-01-06,0,0,0,0,0,1.4,2.2,2.1,1.1,1.7,2.3,2.7,0,0,1.4,0.6,0,0,1
2030-01-07,4.2,2.9,0,2.1,1.5,2.9,3.6,4.5,3.5,2.6,0.1,4.2,1.3,3.8,3,0.1,2.5,0,1.5
2030-01-08,0,0,1,4,0.9,0,0,2.3,1.3,0.9,1.1,0.2,2.2,0,1.2,0,1.3,1.1,0
2030-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
2030-01-10,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.2,0,0,0,0
2030-01-11,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-12,0,0.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0.1
2030-01-13,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-14,0.1,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0,0,0,0,0,0
2030-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0
2030-01-16,0,0,0,1.5,0,0.1,0,3.1,0,2,2.1,0,0,0,2,0,2.3,0,2.5
2030-01-17,0,4.4,0.1,1.8,2.6,0,0,0,0,3.2,0,0,1,0,3.6,2.1,1.6,0,0
2030-01-18,17.5,11.1,14.1,9.5,12.8,13.1,0,11.8,9.7,18.9,17.5,14.9,10.7,11.9,18.8,19.1,10.5,19.3,9.9
2030-01-19,3.7,2.4,0,2.1,0,0,0,3.8,0,0,3.1,2.2,2.9,0,1.6,2.9,4.7,2.3,2.9
2030-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0
2030-01-21,0,1.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
2030-01-22,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0
2030-01-23,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.1,0,0.1,0
2030-01-24,0,0.1,0,0,0,0,0.2,0,0,0.5,0,0.1,0,0,0,0,0,0,0
2030-01-25,0,0.4,0.4,0,0.1,0,0,0,0,0.4,0.1,0.7,0.1,0,0,0.2,0,0,0
2030-01-26,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0
2030-01-27,0,0,0,0,0.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-28,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0.1
2030-01-29,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.2,0
2030-01-30,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0.1
2030-01-31,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.3,0.2,0,0,0
2030-02-01,0.7,0,0.3,0,0,0,0,0,0,0.6,0,1,1.1,0,0.7,0,0,0,0
2030-02-02,0,0.3,0,0.3,0.2,0.4,0,0,0,0,0,0.4,0,0,0.3,0,0,0,0
2030-02-03,0.1,0.1,0,0,0.1,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0
2030-02-04,0.4,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0
2030-02-05,0,0.9,0.8,0.6,1.2,0,1.2,0.2,0,0.2,0,0.6,0.5,0,0,0.6,0,0.4,0
2030-02-06,0,0,0,0.9,0,0,1.6,1.1,0.9,0.7,0,1.4,1.6,0,0.7,0,0,1.3,1.5
2030-02-07,6.6,0.1,3.1,4.8,5.6,6.9,5.6,7.8,2.5,9,5.3,7.7,5.9,8.1,0,7.8,10,7.6,11.7
2030-02-08,0.1,0,0,0,0,0.1,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0
2030-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-02-10,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.1,0
2030-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2030-02-12,0,0,0,0.5,0,2.3,0,0.7,0,3.1,0,0,0.1,0.5,0,0,0,0,0
2030-02-13,6.5,5.6,3.1,2.9,4.8,2.7,4.6,3.8,4,5.1,0,4.2,0,3.5,3.4,0,2.7,4.8,4.1
2030-02-14,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.1,0,0,0,0.3,0.1,0
2030-02-15,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.4,0,0,0.5
2030-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0
2030-02-17,0.2,1.6,0,1.4,0,0,0,0,0.6,0,1.3,0.5,0,0.4,0.7,0,0,0,0
2030-02-18,0,0,0,0.1,0.2,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0,0,0
2030-02-19,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0.4,0,0,0.3,0,0,0
2030-02-20,0,0,0,0.5,0.1,0,0.3,0,0,0,0,0,0,0,0.1,0,0.2,0,0
2030-02-21,0,0,0,0.2,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0
2030-02-22,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.3,0
2030-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0,0,0
2030-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1
2030-02-25,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-02-26,0,0,0,0,0,0,0.6,0,0.4,0,0,0,0.8,0.1,0,0.2,0,0,0
2030-02-27,0.5,0,0,0.7,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
2030-02-28,0,0,0.8,1.2,0.7,0.1,0,0,2.3,0,1.1,0,0.8,0.6,0.8,0,0,0,0
2030-03-01,0,0.1,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-03-02,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.2,0,0,0
2030-03-03,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0.1
2030-03-04,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2030-03-07,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0.1,0
2030-03-08,0.3,0,0.5,0,0,0,0.2,0,0,0.4,0,0,0,0,0.1,0,0,0,0.3
2030-03-09,1.2,2,0,0,0,0.9,1.5,0.7,0,1.1,1.2,1.8,0,1.1,0,0,0,1,0
2030-03-10,0,0,0,0.4,0.1,0,0.3,0,0.1,0,0,0,0.2,0,0,0.3,0.2,0,0
2030-03-11,0,0,0.9,0,0.7,0,0,0,0.9,0.8,0.9,0,0,0,0,0,1.4,2,0.1
2030-03-12,0.3,0.4,0.2,0.4,0.4,0.6,0.7,0.8,0,0.5,0.6,0.5,1.2,0,0,0.4,0.7,0,1.1
2030-03-13,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2030-03-14,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0
2030-03-15,0,0,0,0,0.2,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0.1,0,0
2030-03-16,0,0,0,0.1,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0.2,0,0,0
2030-03-17,1.5,1.1,1.2,0.9,1.8,1.8,1.4,1.2,1.5,0,2.1,2.2,1.2,1.6,2.5,1.8,2.5,1.2,0.1
2030-03-18,0,0,0,0,0.2,0,0.7,0,0.4,0,0,0,0,0,0.3,0,0,0.8,0.7
2030-03-19,0,0.1,0.3,0,0,0,1.2,0,0,0,0.7,0,0.7,0,0,0.1,0.6,1.6,0.6
2030-03-20,1.6,2.7,2,2.6,3.5,0,4.6,0,3.9,2.3,1.5,0,3.7,4.3,4,3.8,5.5,3.7,3.8
2030-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-03-22,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0.1
2030-03-23,0,0,0,0,0,0.3,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0.2
2030-03-24,0.6,0.6,0,0.2,0.1,0.8,1.2,0,1,1.2,1.1,0,0.9,0.8,1.5,1.5,1.2,1.3,0.9
2030-03-25,7.6,2.6,3.9,5,12.3,4.3,0,2.8,3,6.6,7.6,5.6,2.7,3.9,4.1,10.9,7.2,7.2,9.6
2030-03-26,8.1,2.8,2.5,3.5,3.8,5.2,9.5,0,0,2.8,2.8,4.2,0,5.6,8.2,1.8,6.6,7.1,4.3
2030-03-27,0.9,1.9,1,1.1,0.8,0,1.5,0.9,0,0,2.3,0,1.5,1.6,1.3,0,1.3,1.5,2
2030-03-28,0,0,0,0,0,0.2,0,0,0,0.4,0.4,0,0,0.5,0,0.2,0.3,0.4,0.5
2030-03-29,0.6,0,0.5,0,0.7,0.4,0.6,0.5,0.7,1.3,0.9,0,0.9,0.7,0.7,0.7,0.7,0.6,1
2030-03-30,0.5,0.4,0.7,0,0,0,0.6,0.4,0,0,0.8,0.7,0,0.6,0.6,0.5,0,0.4,1.1
2030-03-31,0,0,0,0.1,0,0.2,0,0,0,0.2,0,0,0,0,0.1,0.2,0,0.3,0
2030-04-01,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
2030-04-02,0.2,0.2,0.3,0.3,0.3,0,0,0.4,0.2,0,0.2,0.2,0.6,0.3,0,0.1,0.3,0,0.2
2030-04-03,0,0,0,0,1.3,0,0,0,1.3,0,0,1.3,0,1.2,0.5,0,1.2,0,0.1
2030-04-04,0.7,0.6,0,1,0.4,0.7,0,0.2,1.3,0.5,0.5,0,0,0.9,0,0.3,0,1,0
2030-04-05,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0,0.2,1.1,0,0.2,0.5,0.1,0
2030-04-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
2030-04-07,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0
2030-04-08,0,0,0,0,1.4,0,0.1,0,0,0.6,0,0,0.3,0,0,0,0.1,1,0
2030-04-09,4,3.8,4.6,2.6,5,5.1,4.6,4.6,3.4,4.2,4.8,3.9,3.8,0,0,0,4.6,6.5,6.3
2030-04-10,26.4,23.4,37.4,38.4,0,25.2,17.9,24.2,16.6,11.6,27.8,35.2,24.7,38.4,14.1,0.1,14.4,21,18.8
2030-04-11,0.6,0.7,0.5,0.3,0.1,1.1,1.2,0,1.2,3.1,0,0.4,0,1.4,0.1,2.1,1.7,0,2.2
2030-04-12,0.1,0.5,0.8,0,0.6,0,0.9,0.8,1.2,1.1,1.1,0.7,0.9,1.2,0.9,1.2,0.9,1.4,1.2
2030-04-13,0.9,1.2,1,0,2.2,0,0,1,1.3,1.3,0,1.3,1.4,1.1,1.5,1.6,1.7,0,0
2030-04-14,0,0,0,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0
2030-04-15,3,2,5.4,5.1,3.9,3.8,2,2,3.2,0,5.5,0,1.8,4,4,5,6.2,2.6,2.5
2030-04-16,2.7,1.9,1.3,1.8,5,2.7,2.2,0,1.4,0,2.3,2.2,1.5,2.2,4.6,2.8,1.5,2.5,1.9
2030-04-17,5.9,6.5,6.5,4.4,7.1,7.2,5,7,4.5,0.1,7.1,6.8,10.7,5.8,5.3,8,8.1,8.3,6.9
2030-04-18,23.7,34.7,34.6,29,43.9,40.5,23.3,37.8,30.1,54.7,39.2,26.1,26.4,20.3,41.4,22.2,13.6,27.6,21.7
2030-04-19,3.6,0,2.1,0,3.4,2.9,3.1,2.4,0,3,3.9,0,2.7,2.9,3.4,3.3,3.7,2.5,0
2030-04-20,0.6,1,0,0,1,0,0.7,0.8,0,1.1,0.8,0,1,0.1,0.7,0.8,1.4,0,0.8
2030-04-21,3,0.1,2.3,0,4,4.8,5,2.7,3.9,5.5,3.5,4.3,4.7,5.1,4.2,3.9,3.9,5.5,3.8
2030-04-22,14,12.4,17.4,10.3,16.4,13.3,14.7,11.5,15.5,14.8,13.4,10,12.8,14.9,12.3,22,11.8,16.5,18.1
2030-04-23,0,0,0.8,0,0,1.6,1.8,1.5,1.8,1.9,2,0.9,0,1,0,2.2,1.7,1.8,0
2030-04-24,0,0,0.1,0.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
2030-04-25,0.8,1.4,0.7,0.1,1,0.1,0,0,0,0,0.9,0.7,0,1.6,0.9,0,0,0,0.9
2030-04-26,16.9,12.5,0,34.2,15.4,19.1,29.8,15.4,25.1,24.1,18.3,18.9,25.7,25.8,21.1,33.2,43.1,19.5,24.4
2030-04-27,0.5,0,0.3,0,0,1.8,4,0,1.1,1.5,0,1.5,2.4,2.4,1.8,1.7,1.7,1.9,1.9
2030-04-28,0,0.2,0,0,0,0.4,0,0.3,0,0.3,0,0,0,0,0.1,0,0,0.3,0
2030-04-29,0.9,1.1,0.7,0.4,0.8,1.9,0,1.1,0.5,1.3,1.5,0.4,0,0.3,0,5.9,0,0.7,0.5
2030-04-30,3.8,2.9,4.2,2.9,3.2,3.6,3.4,2.4,3.8,0,4.7,4.1,6.6,6.8,7.4,6,5.2,7.3,0.1
2030-05-01,0,0.2,0,0.4,0,0.6,0.4,0.1,0,0,0,0.1,0.5,0.3,0.1,0.8,0.3,0,0
2030-05-02,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2030-05-03,1.2,1.8,0.1,0.1,1.6,2,1.7,0,0,2.1,0,1.9,2.1,2.3,1.8,2.3,0,2.9,0
2030-05-04,3.3,3.8,3.8,3.4,4.6,4,3.7,4.7,4,6.6,3.9,4.8,5.9,5.6,6.1,5.4,5,6.4,0
2030-05-05,0.9,0,0,1.1,0.6,0.9,0,1.1,0,3,0,0,0.7,1.2,0,0,1,1.5,0
2030-05-06,3.5,3,0,2.6,3.7,5.3,4.6,3,2.9,3.6,3.6,3.8,4.1,3.8,4.4,5.2,5.5,5.3,3.9
2030-05-07,2.1,0.8,1.2,0.9,0,2.2,0,1.4,1.7,0,0,1.4,1,0,1.1,1.2,0,2.4,0
2030-05-08,0,0,1.9,0,1,0,0.8,0.9,1.2,1.6,0.1,0,1.2,0,1.5,1.1,1.4,0.7,1
2030-05-09,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.1,0,0.2,0,0
2030-05-10,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0
2030-05-11,11.9,13.1,12.5,12.3,18.5,12.6,14.7,11,11.2,13.3,11.4,8.9,12.6,10.4,15.3,14.7,12.8,12.7,11.4
2030-05-12,45.8,18.1,21.2,21.6,42.5,0,12.6,22.5,24.3,9.6,39,23.3,12.9,24.3,19.2,11.5,13.5,11.6,16.3
2030-05-13,2.6,0.9,0.9,1.8,0.1,2.6,0,1.2,0,7.3,0,0,0,0,4.2,2.9,2.4,2.4,2.7
2030-05-14,2.2,4.3,1.9,0,0,7.3,5.4,0,0,0,2.9,1.7,2.3,7.2,13.9,6.1,4.2,6.8,4.5
2030-05-15,0,1.2,0.8,0.7,0.6,0.8,0,0.8,0,1.7,1.2,1.1,1.1,1,1.3,1.5,1.4,1.3,0.1
2030-05-16,0,0,0,3.9,1.5,0.1,0.9,0.8,0,0,0.7,0,1,0,0,1,1.4,0,0
2030-05-17,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0.1,0
2030-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.5,0
2030-05-19,0,2.2,0,0,0,0,1.6,0,0,1.2,0,1.6,0,0,1.7,0,0,1.7,0
2030-05-20,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-05-22,0.9,0.6,0,0,0,1.3,0,0,0.6,0,0,0,0.6,1,0,1.3,1.6,0.8,1.1
2030-05-23,2.5,0,0,1.1,0,0,0,1.8,0,1.7,0,1.4,2.1,0,1.5,1.8,0,1.5,2.2
2030-05-24,3.6,0,0,7.7,5.3,0,4.6,0,6.4,8.1,4.5,3,4,9,4.2,0,7,5.3,9.6
2030-05-25,0,0,0.1,0,0,0,2.6,0,0,0,0.2,0,0,0,0,0,0,0,0.2
2030-05-26,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-05-27,0,0,1.3,1.2,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0
2030-05-28,1.6,0,2.5,2.3,0.1,3.8,2.4,2.1,0,2.8,1.9,2.6,2.7,2.8,2.4,0,0,3.9,0
2030-05-29,8.8,8.3,8.7,7.3,6.8,7.3,5.5,5,5.9,4.7,0,5.6,3.7,5.3,6.3,7.9,7.6,9.1,5.6
2030-05-30,12.7,32.9,36.3,27.3,7.1,20.6,20.2,24.1,22.2,13,11,21.7,25.3,32.2,8.7,8.5,14.9,14.7,28
2030-05-31,0,0,0.3,0.1,0.2,0,0.1,0,0,0,0.2,0,0,0,0.1,0,0,0,0
2030-06-01,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-06-02,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-06-03,3.3,0,3,0,3.6,2.6,0,3,0,2.6,0.1,2.8,4,0.1,0,0,2.2,3.6,3.6
2030-06-04,40,25.8,41.9,22.7,30.9,28.3,33.6,24.8,32.1,36.4,35.9,25.8,26,24.6,34.9,34.7,32,22.9,28.5
2030-06-05,17.2,21.6,0,21.4,24.2,20.8,18.2,18.9,16.2,23.7,24.9,18.6,16.6,0,24.8,17,17.5,15.6,12.8
2030-06-06,2.8,5.7,4.2,0,4.5,5.5,7.1,3.8,4.1,4.7,4.9,4.4,4.2,4.8,7.4,0,5.4,4,4.1
2030-06-07,10.1,11.3,19.9,20.4,12.6,13.2,16,13.3,13.9,9.1,13,12.5,15.4,15.6,11.1,16.9,10.8,16.9,15.3
2030-06-08,0,0,0,0,0,0,0,1.5,0,1.4,1.3,3,2.1,0,1.3,1.1,1.5,0,2.6
2030-06-09,0,0.7,0,0,0,0,0.2,0,0.2,0,0,0,0,0,1,0.7,2.2,0.5,0.9
2030-06-10,5.4,0,2.9,12.1,5.9,10.5,10.5,8.2,4,7.4,4.9,7,0,16,8.2,5.8,5.6,9.7,8.3
2030-06-11,1.4,0,1.4,0.6,1.3,0,2.1,1.2,2.8,1.4,0,0,1.6,0.1,1.3,1.4,1.5,0,0
2030-06-12,0,0.6,0,0.8,0.9,0,1.4,0,0.7,0.9,0,0.4,0.9,0.7,0.9,0,0.5,0.7,0
2030-06-13,0,0.4,0,0.1,0,0,0.2,0.7,0.3,0,0,0.6,0,0,0.6,0.2,0,0,0
2030-06-14,0,0.5,0,0.4,0.6,0,0.7,0.7,0.9,0.5,0.1,0,0,0,0,0,0,0.1,0
2030-06-15,0,0,0.8,1.3,1.2,0,0.1,0,2.5,0,1.4,0.1,0,1.9,1,1.2,0,0,0
2030-06-16,0,0,4.1,3.9,2.3,0,4.5,3.1,0.1,4.7,4.1,0.2,5,0,5.4,5.7,4.2,6.6,6.6
2030-06-17,4.5,3.8,3.2,0,4.1,0,6.1,2.8,5.5,7.2,3.7,4.5,4.7,0,8.4,6.4,0.1,6.6,7.1
2030-06-18,5.2,7.7,9.2,0,8.4,0,8.3,0.1,0,14.8,4.7,13.9,7,6.8,9.1,8.2,7.1,0,4.5
2030-06-19,4.1,0,5.5,5.6,6.2,4.1,7.1,0.1,7.8,5.4,3.6,6.5,4.9,6.8,5.4,7.2,7.7,6.8,0
2030-06-20,0,0,1.4,0,0.2,0,0.1,0,1.1,0.7,1,0,0,0.6,0,0,0.8,0.9,0
2030-06-21,0,0,1.1,0,0,0.1,0,0.1,0.1,0,0,0.9,0,0.1,0,0.5,0,0,0
2030-06-22,0,0,0,0,0.2,0,0.1,0.1,0,0.2,0,0,0,0,0,0,0,0,0
2030-06-23,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0
2030-06-24,0.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0.1,0,0.1
2030-06-25,0,0,0,0,0.7,0,0,0,0,0.4,0,0,0,0.1,0,0.1,0,0,0
2030-06-26,0,0,2.1,0,0,0,0,0,0,0,3.1,1.3,0,0,1.7,0,0,1.9,0
2030-06-27,2,1.7,3.4,2,0,8.3,2.9,0,4.5,4.5,0.2,3.9,0,2.8,6.3,0,0,0,4.3
2030-06-28,0,0,0.5,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0
