"Fecha","41.325_2.025","41.325_2.075","41.325_2.125","41.325_2.175","41.375_2.025","41.375_2.075","41.375_2.125","41.375_2.175","41.375_2.225","41.425_2.025","41.425_2.075","41.425_2.125","41.425_2.175","41.425_2.225","41.475_2.025","41.475_2.075","41.475_2.125","41.475_2.175","41.475_2.225"
2030-01-01,0.6,0.6,0.9,0.1,0.1,0.7,0.8,0.9,0,0,0.1,0.8,0,0,1.6,0.4,0,0,0
2030-01-02,0.7,0,0,0,1,10.7,0,0,1.2,1.6,1.2,0,0,0,1.9,0,1.5,0,1.9
2030-01-03,0,0,0,0,0,0,0,0.7,0,0,0.5,0,0,0,0,0,0,0.3,0
2030-01-04,3.6,3.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-05,0,0,0,0,0.2,0.3,0.3,0.3,2.5,0,0,0,0,0.2,0.3,0,0,0.4,0.1
2030-01-06,0.5,0.4,0,0,0,0,0,0.3,0.6,0.4,0.3,0.8,0.9,1,0,0,0.4,0.5,0.8
2030-01-07,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0
2030-01-08,0.5,0,0,1.9,0,0,1.1,1.3,0.9,0,2.2,0.7,0.8,0,1.7,0.8,4,0.9,0
2030-01-09,0,0,2.2,0,0,1.3,1.7,0,0,0,0,0.9,0,1.4,0,1.1,1.3,2.7,1.6
2030-01-10,0,0.3,0,0,0,0.2,0,0,1.6,0.1,0,0,0.3,0,0,0,0,0,0.5
2030-01-11,9.7,8.4,11.2,10.3,0,12.2,0,9.4,0,12.7,10.6,18.8,13.7,0,12,13.1,9.3,10.6,11.6
2030-01-12,0.4,0.3,1.8,0,0.4,0.9,0,0,1.2,0.3,0.2,0.9,0.2,1,0.6,0.5,0.3,0.4,2.6
2030-01-13,0.2,0,0.4,0,0,0,0.3,0.2,0.1,0,0.2,0.2,0,0.2,0,0,0.2,0.2,0
2030-01-14,0,0,0.2,0.2,0,0.2,0.2,0,0.2,0.4,0,0.4,0,0.1,0,0.2,0,0,0
2030-01-15,0,0,0.3,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0.2,0.8,0
2030-01-16,0.7,0,0.9,0.4,0,0.4,0,0.4,0,0,0.4,0.1,0,0,0,0.6,0.5,0,0
2030-01-17,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0
2030-01-18,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.4,0,0
2030-01-19,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0.1,0.2,0,0
2030-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-21,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2030-01-22,0.2,0,0,0.2,0,0.2,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0.2
2030-01-23,2,0.6,2.8,1.8,0.8,1.5,2.4,0,3.6,1.2,0.7,0,0,2.9,1.1,0.8,1.4,0,1.4
2030-01-24,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0.2,0,0,0,0.2,0,0
2030-01-25,0.1,0,0,0.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
2030-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-01-28,0,2.4,0,0,0,0,0,11.8,0,1.9,0,0,4.5,3,0,2.1,2.1,1.5,8.5
2030-01-29,0,0,4.5,3.9,3.7,2.5,3.8,3.5,0,9.8,10.9,3.4,3.2,2.9,2.5,4.3,5.1,10.7,0
2030-01-30,14.2,0,8.6,6.9,9.3,6.6,7.5,7.5,4.8,7.2,5.8,8.9,0,2.5,4.1,3.7,6.2,6.6,7.7
2030-01-31,4.1,7.9,6.5,6.6,4.3,3.3,4.9,0,5.4,1.8,3.8,3.4,5.3,5.7,1.7,2.3,2.4,0,1.7
2030-02-01,18.3,20.6,14.9,18.3,15.8,16.1,22,13.5,21.4,25.7,22.7,16.3,16.1,22.4,19.1,20.3,18.1,24,15.5
2030-02-02,30.3,18.4,29.7,15.6,32.3,21.7,21.1,20.4,21,25.4,28.9,32.6,20.2,21.8,22.1,31.3,38,26.5,22.4
2030-02-03,31.2,22.7,16.4,17.4,24.6,22,21.1,21.1,22.8,22.9,18.6,25.7,17.3,20.9,28.1,35,0,14.2,24.2
2030-02-04,3.5,0,3.6,2,1.3,1.8,3,2.3,0,2.1,2.9,2.8,0,2.5,0,0,2,2.5,0
2030-02-05,1.1,0.4,0.2,0,0.2,0,0.5,0,0,0.3,0,0,0.4,0.5,0,0.4,0.4,0.4,0.5
2030-02-06,0,0,1,0,0,0,0,0,0,0,0.5,0.4,0,0,0.1,0.1,0,0,0
2030-02-07,0,0.7,0.2,0,0,0.2,0,0,0,0.3,0.5,0,0,0.2,0.1,0,0.2,0,0
2030-02-08,0.2,0.8,0.3,0.1,0,0,0,0.6,0.3,0.3,0,0.3,0.5,0,0,0.6,0,0.9,0
2030-02-09,12.8,14.2,16.1,12.1,12.4,17.3,10.6,27.8,16.4,13.3,10.1,13.4,19.2,17.4,17.4,17.5,20.4,18.4,11.9
2030-02-10,0.6,1.8,0.7,0,0.9,0,0,0,0,0,0.7,0.7,0,1,0.7,1.1,7,0,1.4
2030-02-11,0.4,0,0.3,0,0.2,0.3,0,0,0,0.3,0.4,0.2,0,1.7,0,0,0,0.1,0
2030-02-12,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0,0,0.2
2030-02-13,0.1,0.1,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0,0.2,0,0,0
2030-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
2030-02-15,0,0,0,0,0.2,0.3,0,0.2,0,0,0,0.2,0,0.3,0,0.3,0,0.3,0
2030-02-16,0,0,3.6,2.6,0,0,0,2.7,1.1,1.8,0,2,2.6,4,0,0,0,2.7,0
2030-02-17,0.5,0,1,0,0,0.3,0.9,0.5,0,1.5,0.8,0,0,1,0,0.6,0.7,0.5,0
2030-02-18,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2030-02-19,0,0,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2030-02-20,0,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2030-02-21,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
2030-02-22,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
2030-02-23,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
2030-02-24,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-02-25,0,0.6,0,0,0,0,0.3,0.7,0.5,0.3,0.4,0,0,0,0.4,0.4,0,0,0.1
2030-02-26,0.3,0.3,0,0,0.6,0.3,0,0.6,0,0,0,0,0,0,0.4,0.1,0,0.2,0
2030-02-27,0.4,0.4,0,0,0,0.9,0.8,0,0.8,0,0.4,0,0,0,0,0,0,0,0.7
2030-02-28,1.3,0,1.6,2.4,3.5,5.3,2.5,0,1.1,1.6,5.2,0,2.8,0,1.5,3.4,0,1.4,0
2030-03-01,15.6,10.8,24.3,31.6,40.5,31.8,33.3,13.5,18.8,41.8,21.9,32,14.4,13.7,21.3,44.3,14.9,26.2,17.3
2030-03-02,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030-03-03,0,1.5,0,0,1.4,0.1,0.2,0,0,0,0,0,0,0,0,1.3,0,0,0
2030-03-04,0,0,0.3,0.4,0,0,0,0,0.5,0.2,0,0.1,0,0,0.1,0,0.1,0,0.3
2030-03-05,0,3.5,3,4.2,0,7.1,4.7,0,0,5,0,3.4,4.1,4.2,0,3.4,4,4.3,2.9
2030-03-06,0,0,0.1,0,0.8,0,0.4,0,0.5,0,0,0,0,0,0,0,0.3,0,0
2030-03-07,0.3,0.1,0,0,0,0,0.2,0.2,0,0,0,0,0.1,0,0,0,0,0,0.3
2030-03-08,0,0,0.4,0.1,0.1,0.6,0,0,0,0.1,0.1,0,0,0.2,0,0,0,0.4,0
2030-03-09,3,0,1.9,5.2,3.1,0,0,2.7,0,2,2.1,1,0,0,4.8,0,0.9,2.3,0
2030-03-10,0,0.4,0.3,0,0.1,0.6,0,0,0.1,0,0,0,0,0,0,0.3,0.4,0,0.6
2030-03-11,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0.1,0
2030-03-12,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0
2030-03-13,0,0,0,0,0,0,0,0,0,0.9,0.2,0,0,0.1,0,0,0,0,0
2030-03-14,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
2030-03-15,0,0,0,0.1,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0
2030-03-16,0.2,0,0,0,0,0,0,0,0,0,0.2,0.2,0.8,0,0.1,0.1,0.7,0,0.5
2030-03-17,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
2030-03-18,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0
2030-03-19,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0.2
2030-03-20,0,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0
2030-03-21,0,0,0.3,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1
2030-03-22,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2030-03-23,0.4,0,0,0.3,1.1,0,0,0,1.2,1.1,1,0,0.1,0,0,0.1,0,0,0
2030-03-24,0.6,0,0,0,3.4,0.3,0,0,0,0.6,0,0,0.5,0,1.5,0.5,0.6,0,0
2030-03-25,0,0,0.1,1.5,0.2,1.9,0,1.2,1.2,0,1,0,0,0,0,1.2,0,1.4,0.1
2030-03-26,1.9,0.1,0,2.7,0,0,0,2,2.5,0,1.4,1.6,1.8,1.7,0,1.1,0.5,0,2.6
